Model,Precision@10,Recall@10,NDCG@10,Coverage,Training Time (s)
User-Based CF,0.32025450689289503,0.20953000014868936,0.3836997373869192,0.20035671819262782,335.3597068786621
Item-Based CF,0.2907741251325557,0.18713729563562234,0.3514118064731862,0.11533888228299644,87.57881307601929
SVD (MF),0.30604453870625664,0.207757595990303,0.3694367358939354,0.27051129607609986,1.1327435970306396
Hybrid,0.32841993637327677,0.21674858950490014,0.3907921364094954,0.2122473246135553,102.02626490592957
